order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,discount,sale_price,profit
33,1/30/2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,6,0.5,9.5,-0.5
34,6/3/2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,2,0.8,19.2,-0.8
35,9/28/2022,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,3,0.9,29.1,-0.9
36,10/30/2022,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,7,55.0,1045.0,25.0
37,7/27/2023,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,5,7.6000000000000005,182.4,2.4000000000000057
38,3/7/2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,9,2.2,107.8,17.799999999999997
39,8/18/2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,3,10.6,519.4,59.39999999999998
40,1/20/2022,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,3,4.2,205.8,5.800000000000011
41,6/29/2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,4,18.5,351.5,1.5
42,6/28/2022,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,4,4.5,145.5,5.5
43,2/9/2023,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,2,4.0,76.0,6.0
44,9/18/2023,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,2,4.0,96.0,6.0
45,11/11/2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,2,1.0,49.0,9.0
46,5/27/2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,2,1.0,19.0,-1.0
47,2/3/2023,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,4,8.4,201.6,21.599999999999994
48,2/16/2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,3,2.5,47.5,-2.5
49,5/6/2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,2,0.8,19.2,-0.8
50,6/18/2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,6,1.6,38.4,8.399999999999999
51,1/11/2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,6,3.2,76.8,6.799999999999997
52,9/9/2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,2,0.4,9.6,-0.4
53,1/31/2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,1,4.5,85.5,15.5
54,7/30/2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,7,0.6,19.4,-0.6
55,10/17/2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,5,41.2,988.8,138.79999999999995
56,7/6/2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,6,10.5,199.5,-0.5
57,9/15/2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,5,1.5,28.5,-1.5
58,8/9/2022,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,5,6.4,313.6,23.600000000000023
59,4/5/2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,2,0.4,9.6,-0.4
60,6/24/2023,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,2,1.5,28.5,8.5
61,3/10/2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,4,1.0,49.0,9.0
62,4/8/2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,1,0.0,0.0,0.0
63,10/16/2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,2,0.3,9.7,-0.3
64,8/2/2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,6,0.6,29.4,9.399999999999999
65,11/5/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,3,7.5,142.5,12.5
66,5/6/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,4,1.6,78.4,8.400000000000006
67,3/26/2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,5,10.5,199.5,19.5
68,4/10/2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,8,33.3,1076.7,136.70000000000005
69,8/12/2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,4,5.1000000000000005,164.9,4.900000000000006
70,2/25/2022,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,2,1.6,78.4,8.400000000000006
71,11/29/2022,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,1,0.0,0.0,0.0
72,12/18/2022,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,3,0.6,19.4,-0.6
73,3/7/2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,8,16.6,813.4,23.399999999999977
74,7/12/2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,2,3.0,97.0,7.0
75,10/21/2022,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,1,1.4000000000000001,68.6,8.599999999999994
76,4/17/2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,3,0.0,0.0,0.0
77,5/20/2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,3,0.4,9.6,-0.4
78,5/13/2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,3,0.6,29.4,9.399999999999999
79,10/20/2022,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,5,0.4,19.6,-0.4
80,10/22/2023,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,1,6.3,203.7,13.699999999999989
81,7/20/2022,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,3,0.4,19.6,-0.4
82,11/16/2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,5,0.5,9.5,-0.5
83,11/10/2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,1,0.8,19.2,-0.8
84,3/15/2022,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,7,6.0,194.0,14.0
85,10/3/2023,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,3,4.6000000000000005,225.4,15.400000000000006
86,3/20/2022,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,2,15.0,285.0,25.0
87,12/4/2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,1,1.0,19.0,-1.0
88,11/24/2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,2,0.5,9.5,-0.5
89,12/30/2023,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,7,8.0,152.0,12.0
90,5/23/2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,3,0.4,19.6,-0.4
91,4/6/2023,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,2,1.4000000000000001,68.6,8.599999999999994
92,3/23/2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,1,0.2,9.8,-0.2
93,4/7/2023,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,2,0.2,9.8,-0.2
94,5/13/2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,3,2.5,47.5,-2.5
95,4/23/2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,2,0.9,29.1,9.100000000000001
96,12/17/2023,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,1,0.2,9.8,-0.2
97,4/28/2022,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,7,5.0,95.0,15.0
98,6/14/2023,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,3,2.0,48.0,8.0
99,2/5/2023,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,6,2.4,77.6,7.599999999999994
100,12/30/2023,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,7,1.8,58.2,-1.8
101,2/24/2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,3,5.0,95.0,15.0
102,7/25/2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,3,0.0,0.0,0.0
103,1/14/2022,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,4,0.8,19.2,-0.8
104,12/22/2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,6,7.2,232.8,12.800000000000011
105,6/9/2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,3,5.0,95.0,5.0
106,10/28/2023,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,3,2.0,38.0,8.0
107,10/18/2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,8,3.5,66.5,6.5
108,11/23/2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,1,0.9,29.1,-0.9
109,10/12/2023,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,1,0.0,0.0,0.0
110,3/17/2023,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,5,6.8,333.2,43.19999999999999
111,9/5/2023,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,2,0.8,39.2,9.200000000000003
112,1/28/2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,2,2.4,77.6,7.599999999999994
113,12/26/2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,6,0.9,29.1,-0.9
114,6/6/2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,14,0.8,39.2,-0.8
115,11/8/2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,2,0.0,0.0,0.0
116,11/15/2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,3,0.8,19.2,-0.8
117,6/30/2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,6,6.5,123.5,3.5
118,10/27/2023,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,3,31.6,758.4,38.39999999999998
119,7/19/2023,,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,1,8.0,152.0,12.0
120,3/30/2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,3,1.5,48.5,-1.5
121,3/3/2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,4,0.6,29.4,9.399999999999999
122,10/20/2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,6,4.6000000000000005,225.4,35.400000000000006
123,1/23/2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,9,4.8,115.2,5.200000000000003
124,1/21/2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,7,1.4000000000000001,68.6,8.599999999999994
125,7/18/2023,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,3,18.0,582.0,32.0
126,7/15/2023,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,6,24.8,595.2,55.200000000000045
127,7/14/2022,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,2,0.0,0.0,0.0
128,3/30/2023,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,7,9.6,230.4,30.400000000000006
129,9/18/2023,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,2,1.6,78.4,8.400000000000006
130,1/3/2022,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,3,9.6,230.4,10.400000000000006
131,7/17/2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,5,1.8,58.2,8.200000000000003
132,3/30/2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,2,3.2,76.8,-3.2
133,5/1/2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,9,1.0,19.0,-1.0
134,4/29/2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,3,0.8,19.2,-0.8
135,10/28/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,1,2.0,38.0,8.0
136,3/5/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,4,0.5,9.5,-0.5
137,3/28/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,2,0.0,0.0,0.0
138,10/16/2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,3,1.6,78.4,8.400000000000006
139,5/15/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,6,3.5,66.5,6.5
140,6/6/2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,14,0.8,39.2,-0.8
141,6/10/2022,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,2,1.6,78.4,18.400000000000006
142,7/22/2022,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,3,0.3,9.7,-0.3
143,12/27/2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,3,0.2,9.8,-0.2
144,11/29/2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,3,7.0,133.0,3.0
145,3/19/2022,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,3,16.8,823.2,43.200000000000045
146,6/4/2023,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,7,20.1,649.9,49.89999999999998
147,5/31/2023,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,4,3.6,86.4,6.400000000000006
148,6/12/2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,11,15.200000000000001,364.8,14.800000000000011
149,5/18/2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,3,7.5,142.5,2.5
150,1/23/2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,8,58.5,1891.5,311.5
151,8/21/2023,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,5,6.8,163.2,13.199999999999989
152,8/31/2023,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,5,8.0,152.0,12.0
153,10/25/2022,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,2,4.0,196.0,36.0
154,10/7/2022,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,7,2.4,57.6,7.600000000000001
155,3/25/2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,4,4.4,105.6,5.599999999999994
156,3/27/2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,6,3.2,76.8,16.799999999999997
157,5/3/2022,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,3,0.3,9.7,-0.3
158,5/18/2022,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,2,9.200000000000001,450.8,70.80000000000001
159,4/25/2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,2,0.3,9.7,-0.3
160,6/30/2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,7,47.0,893.0,23.0
161,1/10/2022,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,1,0.4,9.6,-0.4
162,11/27/2023,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,2,2.5,47.5,7.5
163,2/16/2022,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,5,1.2,28.8,-1.2
164,8/14/2022,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,2,0.9,29.1,9.100000000000001
165,10/14/2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,3,0.5,9.5,-0.5
166,10/16/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,8,326.40000000000003,7833.6,983.6000000000004
167,11/20/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,3,11.200000000000001,268.8,18.80000000000001
168,11/4/2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,9,69.60000000000001,1670.4,50.40000000000009
169,6/16/2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10002656,6,1.2,28.8,-1.2
170,10/20/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,OFF-AP-10002518,5,3.6,176.4,26.400000000000006
171,7/12/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,TEC-PH-10003931,3,7.0,133.0,13.0
172,1/28/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10000659,3,0.4,19.6,-0.4
173,10/10/2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10001144,2,4.4,105.6,5.599999999999994
174,10/5/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10003817,7,6.8,333.2,43.19999999999999
175,1/2/2023,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,OFF-AP-10000891,2,2.0,48.0,-2.0
176,4/7/2023,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,OFF-LA-10003148,4,1.0,19.0,-1.0
177,4/21/2022,Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,OFF-AP-10002684,4,2.0,98.0,8.0
178,10/28/2023,Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,FUR-CH-10004698,7,20.0,380.0,10.0
179,4/18/2022,Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,OFF-SU-10002189,5,0.6,19.4,-0.6
180,3/8/2022,Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,OFF-AR-10001940,1,0.0,0.0,0.0
181,6/8/2023,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,OFF-ST-10003455,2,1.0,19.0,-1.0
182,6/25/2022,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,TEC-AC-10004659,7,12.3,397.7,17.69999999999999
183,1/10/2022,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,TEC-PH-10003273,4,25.0,475.0,5.0
184,10/17/2023,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,TEC-PH-10004896,5,3.0,147.0,7.0
